Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW22,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,119.09189,-115.161492,180.0,top
SW23,SW_PUSH_LED-SK,MX_ChocV1V2_HS,119.091889,-134.21149,180.0,top
SW24,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,119.091889,-153.261493,180.0,top
SW25,SW_PUSH_LED-SK,MX_ChocV1V2_HS,109.04189,-172.836493,180.0,top
SW26,SW_PUSH_LED-SK,MX_ChocV1V2_HS,138.141888,-98.497495,180.0,top
SW27,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,138.141888,-117.547495,180.0,top
SW28,SW_PUSH_LED-SK,MX_ChocV1V2_HS,138.141888,-136.597496,180.0,top
SW29,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,138.141886,-155.647497,180.0,top
SW30,SW_PUSH_LED-SK,MX_ChocV1V2_HS,130.151891,-175.020495,165.0,top
SW31,SW_PUSH_LED-SK,MX_ChocV1V2_HS,157.191888,-106.291491,180.0,top
SW32,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,157.191888,-125.341495,180.0,top
SW33,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,157.191889,-144.391493,180.0,top
SW34,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,158.889887,-166.461492,150.0,top
SW35,SW_PUSH_LED-SK,MX_ChocV1V2_HS,149.364888,-182.959277,150.0,top
SW36,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,179.277889,-182.176493,135.0,top
SW37,SW_PUSH_LED-SK,MX_ChocV1V2_HS,165.807505,-195.646877,135.0,top
SW38,SW_PUSH_LED-SK,MX_ChocV1V2_HS,251.088888,-182.133493,-135.0,top
SW39,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,264.559272,-195.603876,-135.0,top
SW40,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,273.174889,-106.291494,180.0,top
SW41,SW_PUSH_LED-SK,MX_ChocV1V2_HS,273.174891,-125.341492,180.0,top
SW42,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,273.174889,-144.391493,180.0,top
SW43,SW_PUSH_LED-SK,MX_ChocV1V2_HS,271.476887,-166.418492,-150.0,top
SW44,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,281.001887,-182.916277,-150.0,top
SW45,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,292.224889,-98.497496,180.0,top
SW46,SW_PUSH_LED-SK,MX_ChocV1V2_HS,292.22489,-117.547495,180.0,top
SW47,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,292.224891,-136.597495,180.0,top
SW48,SW_PUSH_LED-SK,MX_ChocV1V2_HS,292.224889,-155.647496,180.0,top
SW49,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,300.214888,-175.020496,-165.0,top
SW50,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,311.27489,-96.111495,180.0,top
SW51,SW_PUSH_LED-SK,MX_ChocV1V2_HS,311.274891,-115.161495,180.0,top
SW52,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,311.274892,-134.211493,180.0,top
SW53,SW_PUSH_LED-SK,MX_ChocV1V2_HS,311.274894,-153.261493,180.0,top
SW54,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,321.324889,-172.836495,180.0,top
SW55,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,330.42489,-91.343493,180.0,top
SW56,SW_PUSH_LED-SK,MX_ChocV1V2_HS,330.424889,-110.393494,180.0,top
SW57,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,330.424887,-129.443491,180.0,top
SW58,SW_PUSH_LED-SK,MX_ChocV1V2_HS,330.424891,-148.493494,180.0,top
SW59,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,340.37489,-172.836495,180.0,top
SW60,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,349.374891,-96.111494,180.0,top
SW61,SW_PUSH_LED-SK,MX_ChocV1V2_HS,349.37489,-115.161495,180.0,top
SW62,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,349.374888,-134.211497,180.0,top
SW63,SW_PUSH_LED-SK,MX_ChocV1V2_HS,349.374887,-153.261497,180.0,top
SW64,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,359.424888,-181.836494,180.0,top
SW65,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,368.424889,-105.636493,180.0,top
SW66,SW_PUSH_LED-SK,MX_ChocV1V2_HS,368.424889,-124.686492,180.0,top
SW67,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,368.424889,-143.736493,180.0,top
SW68,SW_PUSH_LED-SK,MX_ChocV1V2_HS,368.424887,-162.786493,180.0,top
SW69,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,378.474888,-181.836494,180.0,top
SW70,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,387.474888,-105.636491,180.0,top
SW71,SW_PUSH_LED-SK,MX_ChocV1V2_HS,387.474887,-124.686492,180.0,top
SW72,SW_PUSH_LED-SK,MX_ChocV1V2_HS-rot,387.474888,-143.736493,180.0,top
SW73,SW_PUSH_LED-SK,MX_ChocV1V2_HS,387.474889,-162.78649,180.0,top
SW74,SW_SPST,SW_SPST_TL3342,392.099888,-185.661494,-90.0,top
SYM1,Symbol_plus,SYMBOL_PLUS,169.28,-96.76,0.0,top
SYM2,Symbol_plus,SYMBOL_PLUS,270.27689,-91.646493,90.0,top
SYM3,Symbol_minus,SYMBOL_MINUS,169.18,-91.7,0.0,top
SYM4,Symbol_minus,SYMBOL_MINUS,275.336891,-91.546496,90.0,top
TP1,TestPoint,TESTPOINT_PAD_2MM,166.79,-96.91,90.0,top
TP2,TestPoint,TESTPOINT_PAD_2MM,275.486889,-94.036492,180.0,top
TP3,TestPoint,TESTPOINT_PAD_2MM,166.79,-91.830003,90.0,top
TP4,TestPoint,TESTPOINT_PAD_2MM,270.406892,-94.036493,180.0,top
U1,SN74AHCT1G125DBVR,SOT-23-5,161.94,-78.01,0.0,top
U2,xiao,xiao,131.131893,-86.517626,0.0,top
U3,USBLC6-2SC6,SOT-23-6,170.129571,-76.899808,-90.0,top
U4,USBLC6-2SC6,SOT-23-6,260.548407,-76.849803,-90.0,top
U5,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,50.516888,-91.461493,90.0,top
U6,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,378.049889,-91.461493,90.0,top
U8,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,91.675891,-75.88349,90.0,top
U9,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,340.04989,-77.168493,90.0,top
U10,24LC64,CAT24C512 SOIC-8,151.7,-91.6,0.0,top
U11,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,123.716892,-81.936493,90.0,top
U12,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,317.55,-81.325,90.0,top
U13,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,171.692513,-155.417612,90.0,top
U14,SN74AHCT1G125DBVR,SOT-23-5,311.9,-73.75,90.0,top
U15,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,259.692513,-155.417612,90.0,top
U16,xiao,xiao,281.71529,-86.46762,0.0,top
U17,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,76.21,-165.13,90.0,top
U18,TSSOP-16_4.4x5mm_P0.65mm-no ref,TSSOP-16_4.4x5mm_P0.65mm-no ref,354.725,-166.25,90.0,top
U20,24LC64,CAT24C512 SOIC-8,275.78,-79.61,0.0,top
